date,store_id,product_id,product_name,category,predicted_units,actual_units,error,absolute_error,squared_error,block_start,block_end
2026-06-02,BRANCH_A,SKU101,Basmati Rice,Grocery,25.629559918536298,23,-2.629559918536298,2.629559918536298,6.914585365172623,2026-06-02,2026-06-08
2026-06-02,BRANCH_A,SKU102,Cooking Oil,Grocery,17.278720515903885,14,-3.278720515903885,3.278720515903885,10.750008221409036,2026-06-02,2026-06-08
2026-06-02,BRANCH_A,SKU103,Laundry Soap,Household,13.596225127509987,13,-0.596225127509987,0.596225127509987,0.35548440267430026,2026-06-02,2026-06-08
2026-06-02,BRANCH_B,SKU101,Basmati Rice,Grocery,18.31475139202974,22,3.6852486079702587,3.6852486079702587,13.581057302546728,2026-06-02,2026-06-08
2026-06-02,BRANCH_B,SKU102,Cooking Oil,Grocery,16.228606051317264,14,-2.2286060513172643,2.2286060513172643,4.9666849319679285,2026-06-02,2026-06-08
2026-06-02,BRANCH_B,SKU103,Laundry Soap,Household,13.607254473953356,12,-1.6072544739533559,1.6072544739533559,2.5832669440430784,2026-06-02,2026-06-08
2026-06-03,BRANCH_A,SKU101,Basmati Rice,Grocery,26.141508423000918,27,0.8584915769990822,0.8584915769990822,0.7370077877783711,2026-06-02,2026-06-08
2026-06-03,BRANCH_A,SKU102,Cooking Oil,Grocery,18.747973353941507,22,3.252026646058493,3.252026646058493,10.57567730667445,2026-06-02,2026-06-08
2026-06-03,BRANCH_A,SKU103,Laundry Soap,Household,13.807614129257459,16,2.192385870742541,2.192385870742541,4.80655580623153,2026-06-02,2026-06-08
2026-06-03,BRANCH_B,SKU101,Basmati Rice,Grocery,18.990322592702505,23,4.009677407297495,4.009677407297495,16.077512910591963,2026-06-02,2026-06-08
2026-06-03,BRANCH_B,SKU102,Cooking Oil,Grocery,16.73215104919045,17,0.26784895080955096,0.26784895080955096,0.07174306044977725,2026-06-02,2026-06-08
2026-06-03,BRANCH_B,SKU103,Laundry Soap,Household,13.486988392363015,14,0.5130116076369848,0.5130116076369848,0.26318090957028367,2026-06-02,2026-06-08
2026-06-04,BRANCH_A,SKU101,Basmati Rice,Grocery,24.197137917361353,24,-0.19713791736135278,0.19713791736135278,0.03886335846157156,2026-06-02,2026-06-08
2026-06-04,BRANCH_A,SKU102,Cooking Oil,Grocery,18.321733441879957,19,0.6782665581200433,0.6782665581200433,0.4600455238640101,2026-06-02,2026-06-08
2026-06-04,BRANCH_A,SKU103,Laundry Soap,Household,16.922452937908243,21,4.077547062091757,4.077547062091757,16.626390043573117,2026-06-02,2026-06-08
2026-06-04,BRANCH_B,SKU101,Basmati Rice,Grocery,19.798330683757644,25,5.201669316242356,5.201669316242356,27.057363675537218,2026-06-02,2026-06-08
2026-06-04,BRANCH_B,SKU102,Cooking Oil,Grocery,17.615263514937368,19,1.384736485062632,1.384736485062632,1.917495133063613,2026-06-02,2026-06-08
2026-06-04,BRANCH_B,SKU103,Laundry Soap,Household,13.571266908262054,16,2.4287330917379464,2.4287330917379464,5.898744430902964,2026-06-02,2026-06-08
2026-06-05,BRANCH_A,SKU101,Basmati Rice,Grocery,26.032932023649035,26,-0.03293202364903536,0.03293202364903536,0.0010845181816206242,2026-06-02,2026-06-08
2026-06-05,BRANCH_A,SKU102,Cooking Oil,Grocery,19.345916448962857,19,-0.345916448962857,0.345916448962857,0.11965818966307286,2026-06-02,2026-06-08
2026-06-05,BRANCH_A,SKU103,Laundry Soap,Household,12.828969338465791,15,2.1710306615342088,2.1710306615342088,4.713374133321664,2026-06-02,2026-06-08
2026-06-05,BRANCH_B,SKU101,Basmati Rice,Grocery,20.42199758819514,21,0.5780024118048601,0.5780024118048601,0.3340867880522351,2026-06-02,2026-06-08
2026-06-05,BRANCH_B,SKU102,Cooking Oil,Grocery,16.561938033652304,16,-0.5619380336523037,0.5619380336523037,0.31577435366501755,2026-06-02,2026-06-08
2026-06-05,BRANCH_B,SKU103,Laundry Soap,Household,16.09119543551138,17,0.9088045644886193,0.9088045644886193,0.8259257364353491,2026-06-02,2026-06-08
2026-06-06,BRANCH_A,SKU101,Basmati Rice,Grocery,28.991170678891205,30,1.008829321108795,1.008829321108795,1.0177365991288323,2026-06-02,2026-06-08
2026-06-06,BRANCH_A,SKU102,Cooking Oil,Grocery,19.81275556553404,19,-0.8127555655340402,0.8127555655340402,0.6605716093065575,2026-06-02,2026-06-08
2026-06-06,BRANCH_A,SKU103,Laundry Soap,Household,14.883636993428645,20,5.116363006571355,5.116363006571355,26.177170415011872,2026-06-02,2026-06-08
2026-06-06,BRANCH_B,SKU101,Basmati Rice,Grocery,22.00222886534525,29,6.9977711346547515,6.9977711346547515,48.96880085300725,2026-06-02,2026-06-08
2026-06-06,BRANCH_B,SKU102,Cooking Oil,Grocery,22.76720399263104,25,2.232796007368961,2.232796007368961,4.985378010522774,2026-06-02,2026-06-08
2026-06-06,BRANCH_B,SKU103,Laundry Soap,Household,15.750968437717502,12,-3.7509684377175017,3.7509684377175017,14.069764220752875,2026-06-02,2026-06-08
2026-06-07,BRANCH_A,SKU101,Basmati Rice,Grocery,29.270587097555506,26,-3.270587097555506,3.270587097555506,10.696739962696547,2026-06-02,2026-06-08
2026-06-07,BRANCH_A,SKU102,Cooking Oil,Grocery,20.084291283502374,21,0.9157087164976261,0.9157087164976261,0.8385224534697298,2026-06-02,2026-06-08
2026-06-07,BRANCH_A,SKU103,Laundry Soap,Household,15.017812352875254,17,1.9821876471247464,1.9821876471247464,3.929067868413938,2026-06-02,2026-06-08
2026-06-07,BRANCH_B,SKU101,Basmati Rice,Grocery,21.619424762292276,26,4.380575237707724,4.380575237707724,19.189439413218082,2026-06-02,2026-06-08
2026-06-07,BRANCH_B,SKU102,Cooking Oil,Grocery,20.9063930677889,19,-1.9063930677889012,1.9063930677889012,3.6343345289135778,2026-06-02,2026-06-08
2026-06-07,BRANCH_B,SKU103,Laundry Soap,Household,16.116509675943046,18,1.8834903240569538,1.8834903240569538,3.547535800816169,2026-06-02,2026-06-08
2026-06-08,BRANCH_A,SKU101,Basmati Rice,Grocery,32.32097361199027,34,1.6790263880097314,1.6790263880097314,2.819129611633005,2026-06-02,2026-06-08
2026-06-08,BRANCH_A,SKU102,Cooking Oil,Grocery,18.420320950021317,19,0.579679049978683,0.579679049978683,0.3360278009841885,2026-06-02,2026-06-08
2026-06-08,BRANCH_A,SKU103,Laundry Soap,Household,15.477363510040059,17,1.5226364899599414,1.5226364899599414,2.3184218805575307,2026-06-02,2026-06-08
2026-06-08,BRANCH_B,SKU101,Basmati Rice,Grocery,20.53994015333813,22,1.4600598466618706,1.4600598466618706,2.131774755834285,2026-06-02,2026-06-08
2026-06-08,BRANCH_B,SKU102,Cooking Oil,Grocery,17.48696249933618,21,3.5130375006638204,3.5130375006638204,12.341432481070301,2026-06-02,2026-06-08
2026-06-08,BRANCH_B,SKU103,Laundry Soap,Household,15.549266471134448,11,-4.549266471134448,4.549266471134448,20.695825425388076,2026-06-02,2026-06-08
2026-06-09,BRANCH_A,SKU101,Basmati Rice,Grocery,26.107960195688932,23,-3.107960195688932,3.107960195688932,9.659416577986784,2026-06-09,2026-06-15
2026-06-09,BRANCH_A,SKU102,Cooking Oil,Grocery,16.065080045420363,21,4.934919954579637,4.934919954579637,24.35343495810829,2026-06-09,2026-06-15
2026-06-09,BRANCH_A,SKU103,Laundry Soap,Household,14.146650663946867,15,0.8533493360531335,0.8533493360531335,0.7282050893423236,2026-06-09,2026-06-15
2026-06-09,BRANCH_B,SKU101,Basmati Rice,Grocery,22.52756151621796,21,-1.5275615162179612,1.5275615162179612,2.3334441858301167,2026-06-09,2026-06-15
2026-06-09,BRANCH_B,SKU102,Cooking Oil,Grocery,18.415243486948004,16,-2.415243486948004,2.415243486948004,5.833401101244753,2026-06-09,2026-06-15
2026-06-09,BRANCH_B,SKU103,Laundry Soap,Household,14.777220100228197,14,-0.7772201002281971,0.7772201002281971,0.6040710841987288,2026-06-09,2026-06-15
2026-06-10,BRANCH_A,SKU101,Basmati Rice,Grocery,23.422292914836763,26,2.5777070851632367,2.5777070851632367,6.64457381690075,2026-06-09,2026-06-15
2026-06-10,BRANCH_A,SKU102,Cooking Oil,Grocery,17.65815455277026,18,0.34184544722974053,0.34184544722974053,0.11685830979170132,2026-06-09,2026-06-15
2026-06-10,BRANCH_A,SKU103,Laundry Soap,Household,14.669199400016135,18,3.3308005999838652,3.3308005999838652,11.094232636852876,2026-06-09,2026-06-15
2026-06-10,BRANCH_B,SKU101,Basmati Rice,Grocery,22.374859613270612,22,-0.3748596132706119,0.3748596132706119,0.14051972966139273,2026-06-09,2026-06-15
2026-06-10,BRANCH_B,SKU102,Cooking Oil,Grocery,16.821100064232024,18,1.1788999357679764,1.1788999357679764,1.3898050585537387,2026-06-09,2026-06-15
2026-06-10,BRANCH_B,SKU103,Laundry Soap,Household,14.54281536812381,11,-3.5428153681238097,3.5428153681238097,12.551540732614246,2026-06-09,2026-06-15
2026-06-11,BRANCH_A,SKU101,Basmati Rice,Grocery,24.105648490348784,24,-0.10564849034878421,0.10564849034878421,0.01116160351297715,2026-06-09,2026-06-15
2026-06-11,BRANCH_A,SKU102,Cooking Oil,Grocery,18.543025513596913,17,-1.5430255135969126,1.5430255135969126,2.380927735611016,2026-06-09,2026-06-15
2026-06-11,BRANCH_A,SKU103,Laundry Soap,Household,14.118829239638943,15,0.8811707603610568,0.8811707603610568,0.776461908915283,2026-06-09,2026-06-15
2026-06-11,BRANCH_B,SKU101,Basmati Rice,Grocery,21.151421474942254,22,0.8485785250577464,0.8485785250577464,0.7200855131891805,2026-06-09,2026-06-15
2026-06-11,BRANCH_B,SKU102,Cooking Oil,Grocery,21.591331639223743,21,-0.5913316392237427,0.5913316392237427,0.34967310754703856,2026-06-09,2026-06-15
2026-06-11,BRANCH_B,SKU103,Laundry Soap,Household,13.333474472117073,12,-1.3334744721170733,1.3334744721170733,1.7781541677879071,2026-06-09,2026-06-15
2026-06-12,BRANCH_A,SKU101,Basmati Rice,Grocery,23.935386459946926,26,2.064613540053074,2.064613540053074,4.262629069770486,2026-06-09,2026-06-15
2026-06-12,BRANCH_A,SKU102,Cooking Oil,Grocery,18.73856196796058,19,0.2614380320394183,0.2614380320394183,0.06834984459664391,2026-06-09,2026-06-15
2026-06-12,BRANCH_A,SKU103,Laundry Soap,Household,15.078078483804198,14,-1.0780784838041981,1.0780784838041981,1.1622532172415587,2026-06-09,2026-06-15
2026-06-12,BRANCH_B,SKU101,Basmati Rice,Grocery,30.029789896067022,25,-5.029789896067022,5.029789896067022,25.29878639857791,2026-06-09,2026-06-15
2026-06-12,BRANCH_B,SKU102,Cooking Oil,Grocery,17.494252393169155,15,-2.4942523931691554,2.4942523931691554,6.221295000830059,2026-06-09,2026-06-15
2026-06-12,BRANCH_B,SKU103,Laundry Soap,Household,14.11892084474929,13,-1.1189208447492902,1.1189208447492902,1.2519838568144652,2026-06-09,2026-06-15
2026-06-13,BRANCH_A,SKU101,Basmati Rice,Grocery,28.12730855163323,29,0.8726914483667692,0.8726914483667692,0.7615903640524893,2026-06-09,2026-06-15
2026-06-13,BRANCH_A,SKU102,Cooking Oil,Grocery,18.779787788629758,20,1.2202122113702423,1.2202122113702423,1.488917840777057,2026-06-09,2026-06-15
2026-06-13,BRANCH_A,SKU103,Laundry Soap,Household,15.83061314596956,20,4.16938685403044,4.16938685403044,17.383786738561852,2026-06-09,2026-06-15
2026-06-13,BRANCH_B,SKU101,Basmati Rice,Grocery,23.541960815783767,29,5.458039184216233,5.458039184216233,29.7901917364398,2026-06-09,2026-06-15
2026-06-13,BRANCH_B,SKU102,Cooking Oil,Grocery,18.60834963633404,20,1.3916503636659598,1.3916503636659598,1.9366907346915982,2026-06-09,2026-06-15
2026-06-13,BRANCH_B,SKU103,Laundry Soap,Household,14.346262220945404,15,0.6537377790545964,0.6537377790545964,0.4273730837632363,2026-06-09,2026-06-15
2026-06-14,BRANCH_A,SKU101,Basmati Rice,Grocery,27.44615289348524,28,0.553847106514759,0.553847106514759,0.30674661739477077,2026-06-09,2026-06-15
2026-06-14,BRANCH_A,SKU102,Cooking Oil,Grocery,18.846174707288885,19,0.15382529271111522,0.15382529271111522,0.02366222067766028,2026-06-09,2026-06-15
2026-06-14,BRANCH_A,SKU103,Laundry Soap,Household,15.271048404066502,16,0.7289515959334985,0.7289515959334985,0.5313704292139944,2026-06-09,2026-06-15
2026-06-14,BRANCH_B,SKU101,Basmati Rice,Grocery,22.91568534726218,27,4.08431465273782,4.08431465273782,16.681626182568863,2026-06-09,2026-06-15
2026-06-14,BRANCH_B,SKU102,Cooking Oil,Grocery,19.93679037645418,21,1.06320962354582,1.06320962354582,1.1304147036004442,2026-06-09,2026-06-15
2026-06-14,BRANCH_B,SKU103,Laundry Soap,Household,13.625135998161774,12,-1.625135998161774,1.625135998161774,2.641067012521265,2026-06-09,2026-06-15
2026-06-15,BRANCH_A,SKU101,Basmati Rice,Grocery,25.58243080040466,24,-1.5824308004046586,1.5824308004046586,2.5040872380693284,2026-06-09,2026-06-15
2026-06-15,BRANCH_A,SKU102,Cooking Oil,Grocery,16.678703179368398,19,2.321296820631602,2.321296820631602,5.388418929474384,2026-06-09,2026-06-15
2026-06-15,BRANCH_A,SKU103,Laundry Soap,Household,17.479205641895526,19,1.5207943581044745,1.5207943581044745,2.3128154796424005,2026-06-09,2026-06-15
2026-06-15,BRANCH_B,SKU101,Basmati Rice,Grocery,21.56787112612758,22,0.4321288738724185,0.4321288738724185,0.18673536363424456,2026-06-09,2026-06-15
2026-06-15,BRANCH_B,SKU102,Cooking Oil,Grocery,17.82323228338802,16,-1.8232322833880197,1.8232322833880197,3.3241759591882922,2026-06-09,2026-06-15
2026-06-15,BRANCH_B,SKU103,Laundry Soap,Household,12.762829584883121,10,-2.7628295848831215,2.7628295848831215,7.633227315105441,2026-06-09,2026-06-15
