sales_date,store_nbr,family_name,sales,onpromotion,is_closed_day,is_holiday,is_event,is_work_day,oil_price
2017-07-13,1,AUTOMOTIVE,9.0,0,0,0,0,0,46.06
2017-07-13,1,BABY CARE,0.0,0,0,0,0,0,46.06
2017-07-13,1,BEAUTY,5.0,1,0,0,0,0,46.06
2017-07-13,1,BEVERAGES,2115.0,34,0,0,0,0,46.06
2017-07-13,1,BOOKS,0.0,0,0,0,0,0,46.06
2017-07-13,1,BREAD/BAKERY,348.923,0,0,0,0,0,46.06
2017-07-13,1,CELEBRATION,19.0,0,0,0,0,0,46.06
2017-07-13,1,CLEANING,615.0,20,0,0,0,0,46.06
2017-07-13,1,DAIRY,764.0,23,0,0,0,0,46.06
2017-07-13,1,DELI,118.337,10,0,0,0,0,46.06
2017-07-13,1,EGGS,113.0,0,0,0,0,0,46.06
2017-07-13,1,FROZEN FOODS,152.52899,1,0,0,0,0,46.06
2017-07-13,1,GROCERY I,2571.0,47,0,0,0,0,46.06
2017-07-13,1,GROCERY II,46.0,1,0,0,0,0,46.06
2017-07-13,1,HARDWARE,2.0,0,0,0,0,0,46.06
2017-07-13,1,HOME AND KITCHEN I,20.0,2,0,0,0,0,46.06
2017-07-13,1,HOME AND KITCHEN II,33.0,2,0,0,0,0,46.06
2017-07-13,1,HOME APPLIANCES,1.0,0,0,0,0,0,46.06
2017-07-13,1,HOME CARE,140.0,8,0,0,0,0,46.06
2017-07-13,1,LADIESWEAR,9.0,0,0,0,0,0,46.06
2017-07-13,1,LAWN AND GARDEN,17.0,0,0,0,0,0,46.06
2017-07-13,1,LINGERIE,4.0,0,0,0,0,0,46.06
2017-07-13,1,"LIQUOR,WINE,BEER",98.0,6,0,0,0,0,46.06
2017-07-13,1,MAGAZINES,6.0,0,0,0,0,0,46.06
2017-07-13,1,MEATS,230.967,0,0,0,0,0,46.06
2017-07-13,1,PERSONAL CARE,120.0,3,0,0,0,0,46.06
2017-07-13,1,PET SUPPLIES,8.0,0,0,0,0,0,46.06
2017-07-13,1,PLAYERS AND ELECTRONICS,4.0,0,0,0,0,0,46.06
2017-07-13,1,POULTRY,313.532,0,0,0,0,0,46.06
2017-07-13,1,PREPARED FOODS,79.597,0,0,0,0,0,46.06
2017-07-13,1,PRODUCE,2275.642,7,0,0,0,0,46.06
2017-07-13,1,SCHOOL AND OFFICE SUPPLIES,0.0,0,0,0,0,0,46.06
2017-07-13,1,SEAFOOD,31.216,0,0,0,0,0,46.06
2017-07-13,2,AUTOMOTIVE,3.0,0,0,0,0,0,46.06
2017-07-13,2,BABY CARE,0.0,0,0,0,0,0,46.06
2017-07-13,2,BEAUTY,4.0,0,0,0,0,0,46.06
2017-07-13,2,BEVERAGES,2338.0,44,0,0,0,0,46.06
2017-07-13,2,BOOKS,0.0,0,0,0,0,0,46.06
2017-07-13,2,BREAD/BAKERY,479.0,0,0,0,0,0,46.06
2017-07-13,2,CELEBRATION,9.0,0,0,0,0,0,46.06
2017-07-13,2,CLEANING,736.0,20,0,0,0,0,46.06
2017-07-13,2,DAIRY,685.0,23,0,0,0,0,46.06
2017-07-13,2,DELI,187.428,14,0,0,0,0,46.06
2017-07-13,2,EGGS,139.0,0,0,0,0,0,46.06
2017-07-13,2,FROZEN FOODS,93.0,1,0,0,0,0,46.06
2017-07-13,2,GROCERY I,2952.0,56,0,0,0,0,46.06
2017-07-13,2,GROCERY II,50.0,1,0,0,0,0,46.06
2017-07-13,2,HARDWARE,0.0,0,0,0,0,0,46.06
2017-07-13,2,HOME AND KITCHEN I,8.0,3,0,0,0,0,46.06
2017-07-13,2,HOME AND KITCHEN II,28.0,1,0,0,0,0,46.06
2017-07-13,2,HOME APPLIANCES,0.0,0,0,0,0,0,46.06
2017-07-13,2,HOME CARE,223.0,11,0,0,0,0,46.06
2017-07-13,2,LADIESWEAR,20.0,0,0,0,0,0,46.06
2017-07-13,2,LAWN AND GARDEN,5.0,0,0,0,0,0,46.06
2017-07-13,2,LINGERIE,11.0,0,0,0,0,0,46.06
2017-07-13,2,"LIQUOR,WINE,BEER",70.0,2,0,0,0,0,46.06
2017-07-13,2,MAGAZINES,11.0,0,0,0,0,0,46.06
2017-07-13,2,MEATS,405.448,1,0,0,0,0,46.06
2017-07-13,2,PERSONAL CARE,172.0,5,0,0,0,0,46.06
2017-07-13,2,PET SUPPLIES,11.0,0,0,0,0,0,46.06
2017-07-13,2,PLAYERS AND ELECTRONICS,6.0,0,0,0,0,0,46.06
2017-07-13,2,POULTRY,371.424,0,0,0,0,0,46.06
2017-07-13,2,PREPARED FOODS,53.081,0,0,0,0,0,46.06
2017-07-13,2,PRODUCE,1737.561,3,0,0,0,0,46.06
2017-07-13,2,SCHOOL AND OFFICE SUPPLIES,0.0,0,0,0,0,0,46.06
2017-07-13,2,SEAFOOD,19.547,0,0,0,0,0,46.06
2017-07-13,3,AUTOMOTIVE,6.0,0,0,0,0,0,46.06
2017-07-13,3,BABY CARE,0.0,0,0,0,0,0,46.06
2017-07-13,3,BEAUTY,7.0,1,0,0,0,0,46.06
2017-07-13,3,BEVERAGES,6372.0,39,0,0,0,0,46.06
2017-07-13,3,BOOKS,0.0,0,0,0,0,0,46.06
2017-07-13,3,BREAD/BAKERY,869.855,0,0,0,0,0,46.06
2017-07-13,3,CELEBRATION,28.0,0,0,0,0,0,46.06
2017-07-13,3,CLEANING,1343.0,21,0,0,0,0,46.06
2017-07-13,3,DAIRY,1591.0,30,0,0,0,0,46.06
2017-07-13,3,DELI,246.672,13,0,0,0,0,46.06
2017-07-13,3,EGGS,373.0,0,0,0,0,0,46.06
2017-07-13,3,FROZEN FOODS,139.657,1,0,0,0,0,46.06
2017-07-13,3,GROCERY I,5749.0,73,0,0,0,0,46.06
2017-07-13,3,GROCERY II,54.0,1,0,0,0,0,46.06
2017-07-13,3,HARDWARE,1.0,0,0,0,0,0,46.06
2017-07-13,3,HOME AND KITCHEN I,79.0,9,0,0,0,0,46.06
2017-07-13,3,HOME AND KITCHEN II,38.0,2,0,0,0,0,46.06
2017-07-13,3,HOME APPLIANCES,0.0,0,0,0,0,0,46.06
2017-07-13,3,HOME CARE,391.0,13,0,0,0,0,46.06
2017-07-13,3,LADIESWEAR,41.0,0,0,0,0,0,46.06
2017-07-13,3,LAWN AND GARDEN,44.0,0,0,0,0,0,46.06
2017-07-13,3,LINGERIE,11.0,0,0,0,0,0,46.06
2017-07-13,3,"LIQUOR,WINE,BEER",141.0,5,0,0,0,0,46.06
2017-07-13,3,MAGAZINES,17.0,0,0,0,0,0,46.06
2017-07-13,3,MEATS,549.554,0,0,0,0,0,46.06
2017-07-13,3,PERSONAL CARE,313.0,4,0,0,0,0,46.06
2017-07-13,3,PET SUPPLIES,17.0,0,0,0,0,0,46.06
2017-07-13,3,PLAYERS AND ELECTRONICS,14.0,0,0,0,0,0,46.06
2017-07-13,3,POULTRY,838.915,0,0,0,0,0,46.06
2017-07-13,3,PREPARED FOODS,230.951,0,0,0,0,0,46.06
2017-07-13,3,PRODUCE,5955.616,8,0,0,0,0,46.06
2017-07-13,3,SCHOOL AND OFFICE SUPPLIES,2.0,0,0,0,0,0,46.06
2017-07-13,3,SEAFOOD,61.136,0,0,0,0,0,46.06
2017-07-13,4,AUTOMOTIVE,1.0,0,0,0,0,0,46.06
2017-07-13,4,BABY CARE,0.0,0,0,0,0,0,46.06
2017-07-13,4,BEAUTY,5.0,1,0,0,0,0,46.06
2017-07-13,4,BEVERAGES,2085.0,39,0,0,0,0,46.06
2017-07-13,4,BOOKS,0.0,0,0,0,0,0,46.06
2017-07-13,4,BREAD/BAKERY,264.839,0,0,0,0,0,46.06
2017-07-13,4,CELEBRATION,11.0,0,0,0,0,0,46.06
2017-07-13,4,CLEANING,606.0,19,0,0,0,0,46.06
2017-07-13,4,DAIRY,546.0,24,0,0,0,0,46.06
2017-07-13,4,DELI,164.582,13,0,0,0,0,46.06
2017-07-13,4,EGGS,87.0,0,0,0,0,0,46.06
2017-07-13,4,FROZEN FOODS,63.0,1,0,0,0,0,46.06
2017-07-13,4,GROCERY I,2620.0,49,0,0,0,0,46.06
2017-07-13,4,GROCERY II,5.0,0,0,0,0,0,46.06
2017-07-13,4,HARDWARE,0.0,0,0,0,0,0,46.06
2017-07-13,4,HOME AND KITCHEN I,15.0,4,0,0,0,0,46.06
2017-07-13,4,HOME AND KITCHEN II,10.0,0,0,0,0,0,46.06
2017-07-13,4,HOME APPLIANCES,0.0,0,0,0,0,0,46.06
2017-07-13,4,HOME CARE,256.0,11,0,0,0,0,46.06
2017-07-13,4,LADIESWEAR,10.0,0,0,0,0,0,46.06
2017-07-13,4,LAWN AND GARDEN,17.0,0,0,0,0,0,46.06
2017-07-13,4,LINGERIE,1.0,0,0,0,0,0,46.06
2017-07-13,4,"LIQUOR,WINE,BEER",53.0,2,0,0,0,0,46.06
2017-07-13,4,MAGAZINES,6.0,0,0,0,0,0,46.06
2017-07-13,4,MEATS,214.215,0,0,0,0,0,46.06
2017-07-13,4,PERSONAL CARE,186.0,5,0,0,0,0,46.06
2017-07-13,4,PET SUPPLIES,2.0,0,0,0,0,0,46.06
2017-07-13,4,PLAYERS AND ELECTRONICS,6.0,0,0,0,0,0,46.06
2017-07-13,4,POULTRY,277.549,0,0,0,0,0,46.06
2017-07-13,4,PREPARED FOODS,21.0,0,0,0,0,0,46.06
2017-07-13,4,PRODUCE,1598.45,7,0,0,0,0,46.06
2017-07-13,4,SCHOOL AND OFFICE SUPPLIES,0.0,0,0,0,0,0,46.06
2017-07-13,4,SEAFOOD,18.744,0,0,0,0,0,46.06
2017-07-13,5,AUTOMOTIVE,5.0,0,0,0,0,0,46.06
2017-07-13,5,BABY CARE,0.0,0,0,0,0,0,46.06
2017-07-13,5,BEAUTY,8.0,1,0,0,0,0,46.06
